,Company,Year,SECTOR,Sector,stock_FinancialYEnd,stock_FollowingQtrEnd,BasicEPS,total shareholder's equity,Basic avg shares,profit,ESG_Exposure,ESG_Managed,ESG_Class,BVE,ESG_Index
451,MPWR,2023,7,Information Technology,675.10693359375,820.4130859375,8.98,2049939,47610,427374,31.233,11.054,4.333,43.05689981096408,-1.4381860472100156
452,MRK,2020,5,Health Care,66.0819091796875,70.47856903076172,2.79,25317000,2530226,7067000,51.0,24.87,5.0,10.005825566569943,0.6040480925907075
453,MRK,2021,5,Health Care,76.38642883300781,85.63190460205078,5.16,38184000,2530000,13049000,50.133,27.543,5.0,15.092490118577075,0.7385907168331476
454,MRK,2022,5,Health Care,102.230224609375,111.6492004394531,5.73,45991000,2532000,14519000,47.875,26.071,5.0,18.16390205371248,0.5375124570882962
455,MRK,2023,5,Health Care,130.3385467529297,123.0637817382812,0.14,37581000,2537000,365000,48.55,27.047,5.0,14.813165155695703,0.632669645872645
456,MRNA,2020,5,Health Care,130.9499969482422,234.979995727539,-1.96,2561000,381333,-747000,38.767,7.73,7.0,6.715914961464128,-0.4215222444685545
457,MRNA,2021,5,Health Care,172.2599945068359,142.8500061035156,30.31,14145000,403000,12202000,39.35,9.273,6.667,35.09925558312655,-0.4039693063807819
458,MRNA,2022,5,Health Care,153.5800018310547,121.5,21.26,19123000,394000,8362000,40.383,10.84,6.0,48.535532994923855,-0.4746986236429941
459,MRNA,2023,5,Health Care,106.5599975585938,118.75,-12.33,13854000,382000,-4714000,37.904,14.834,5.0,36.26701570680628,-0.6601696091199801
460,MRO,2020,3,Energy,10.13875865936279,12.9731502532959,-1.84,10561000,789000,-1451000,72.383,29.371,9.0,13.385297845373891,3.21727816806151
461,MRO,2021,3,Energy,24.18570518493652,21.72420883178711,1.27,10686000,743000,946000,74.079,31.76,8.833,14.382234185733513,3.3968598662605203
462,MRO,2022,3,Energy,23.36524200439453,22.5310173034668,5.71,11397000,633000,3612000,74.4,32.385,9.0,18.00473933649289,3.508002007743195
463,MRO,2023,3,Energy,28.08984375,28.55126190185547,2.56,11205000,607000,1554000,73.696,34.084,7.667,18.459637561779243,3.144447784658441
464,MS,2020,4,Financials,68.5982666015625,81.40763854980469,6.55,101781000,1603000,10500000,49.421,26.386,5.0,63.49407361197754,0.6298800617492748
465,MS,2021,4,Financials,79.04353332519531,69.26712799072266,8.16,105441000,1785000,14566000,48.988,26.405,5.0,59.07058823529412,0.6110215119763098
466,MS,2022,4,Financials,82.19947052001953,80.59744262695312,6.23,100141000,1691000,10540000,48.604,26.422,5.0,59.21998817267889,0.5943068868572106
467,MS,2023,4,Financials,91.56908416748048,95.44158172607422,5.24,99038000,1628000,8530000,51.875,27.087,5.0,60.834152334152336,0.789640437683446
468,MSI,2020,7,Information Technology,179.7027282714844,208.051773071289,5.58,-558000,170000,949000,32.417,17.622,3.0,-3.2823529411764705,-1.395704034367001
469,MSI,2021,7,Information Technology,234.543472290039,203.6996459960937,7.36,-40000,169200,1245000,34.05,19.465,3.0,-0.2364066193853428,-1.1993797161638646
470,MSI,2022,7,Information Technology,280.9884948730469,288.9837951660156,8.14,116000,167500,1363000,34.3,20.263,3.0,0.6925373134328359,-1.1355917877672277
471,MSI,2023,7,Information Technology,353.0469665527344,385.0457153320313,10.23,724000,167000,1709000,33.55,20.18,3.0,4.335329341317365,-1.1758362164868652
472,MTCH,2020,1,Communication Services,137.3800048828125,161.25,0.73,-1414417,223433,162329,34.15,7.75,5.0,-6.3303853951743925,-1.2976722022193485
473,MTCH,2021,1,Communication Services,108.7399978637695,69.69000244140625,1.01,-203769,275004,277723,34.079,8.27,4.833,-0.7409674041104857,-1.3223356248704288
474,MTCH,2022,1,Communication Services,38.38999938964844,41.84999847412109,1.28,-359875,282564,361946,33.233,13.666,3.0,-1.2736052717260515,-1.6165112835284703
475,MTCH,2023,1,Communication Services,36.27999877929688,30.3799991607666,2.36,-19548,275773,651539,32.733,13.837,3.0,-0.07088438679638688,-1.6285406656861003
476,NDAQ,2020,4,Financials,46.78007507324219,55.96033096313477,1.89,6433000,493200,933000,31.0,14.787,3.0,13.0433901054339,-1.6468692676638224
477,NDAQ,2021,4,Financials,57.21652984619141,49.13490676879883,2.38,6395000,497700,1187000,31.263,17.142,3.0,12.84910588708057,-1.4806635495054352
