Company-Year,Sector,stock_FinancialYEnd,stock_FollowingQtrEnd,BasicEPS,total shareholder's equity,Basic avg shares,NetIncomeAvailShareholders,ESG Risk Exposure Score,ESG Risk Managed Score,Sustainalytics ESG Risk Classification
MRO-2021,Energy,24.18570518493652,21.72420883178711,1.27,"10,686,000","743,000","946,000",74.079,31.76,8.833
MRO-2022,Energy,23.36524200439453,22.5310173034668,5.71,"11,397,000","633,000","3,612,000",74.4,32.385,9
MRO-2023,Energy,28.08984375,28.55126190185547,2.56,"11,205,000","607,000","1,554,000",73.696,34.084,7.667
MS-2020,Financials,68.5982666015625,81.40763854980469,6.55,"101,781,000","1,603,000","10,500,000",49.421,26.386,5
MS-2021,Financials,79.04353332519531,69.26712799072266,8.16,"105,441,000","1,785,000","14,566,000",48.988,26.405,5
MS-2022,Financials,82.19947052001953,80.59744262695312,6.23,"100,141,000","1,691,000","10,540,000",48.604,26.422,5
MS-2023,Financials,91.56908416748048,95.44158172607422,5.24,"99,038,000","1,628,000","8,530,000",51.875,27.087,5
MSI-2020,Information Technology,179.7027282714844,208.051773071289,5.58,"-558,000","170,000","949,000",32.417,17.622,3
MSI-2021,Information Technology,234.543472290039,203.6996459960937,7.36,"-40,000","169,200","1,245,000",34.05,19.465,3
MSI-2022,Information Technology,280.9884948730469,288.9837951660156,8.14,"116,000","167,500","1,363,000",34.3,20.263,3
MSI-2023,Information Technology,353.0469665527344,385.0457153320313,10.23,"724,000","167,000","1,709,000",33.55,20.18,3
MTCH-2020,Communication Services,137.3800048828125,161.25,0.73,"-1,414,417","223,433","162,329",34.15,7.75,5
MTCH-2021,Communication Services,108.7399978637695,69.69000244140625,1.01,"-203,769","275,004","277,723",34.079,8.27,4.833
MTCH-2022,Communication Services,38.38999938964844,41.84999847412109,1.28,"-359,875","282,564","361,946",33.233,13.666,3
MTCH-2023,Communication Services,36.27999877929688,30.3799991607666,2.36,"-19,548","275,773","651,539",32.733,13.837,3
NDAQ-2020,Financials,46.78007507324219,55.96033096313477,1.89,"6,433,000","493,200","933,000",31,14.787,3
NDAQ-2021,Financials,57.21652984619141,49.13490676879883,2.38,"6,395,000","497,700","1,187,000",31.263,17.142,3
NDAQ-2022,Financials,53.36373519897461,48.84709930419922,2.28,"6,151,000","492,400","1,125,000",32.05,20.098,3
NDAQ-2023,Financials,62.61275482177734,60.01570129394531,2.10,"10,816,000","504,909","1,059,000",36.288,23.318,3
NEM-2020,Materials,52.90926361083984,56.1834716796875,3.52,"23,008,000","804,000","2,829,000",69.475,45.874,5
NEM-2021,Materials,72.33808898925781,54.71643829345703,1.46,"22,022,000","799,000","1,166,000",66.888,42.963,5
NEM-2022,Materials,46.46583938598633,40.82142639160156,-0.54,"19,354,000","794,000","-429,000",65.312,43.513,5
NEM-2023,Materials,35.34725570678711,41.6201171875,-2.97,"29,027,000","841,000","-2,494,000",65.4,44.702,4.833
NFLX-2020,Communication Services,521.6599731445312,528.2100219726562,6.26,"11,065,240","440,922","2,761,395",23.1,5.112,3
NFLX-2021,Communication Services,374.5899963378906,174.8699951171875,11.55,"15,849,248","443,155","5,116,228",23.1,5.911,3
NFLX-2022,Communication Services,345.4800109863281,440.489990234375,10.10,"20,777,401","444,698","4,491,924",24.067,7.826,3
NFLX-2023,Communication Services,607.3300170898438,674.8800048828125,12.25,"20,588,313","441,571","5,407,990",24.163,7.81,3
NI-2020,Utilities,21.08087730407715,21.63059234619141,-0.19,"5,752,200","384,300","-72,700",71.3,39.205,7
NI-2021,Utilities,28.82059478759766,26.94275283813477,1.35,"6,947,300","393,600","529,800",72.183,40.782,7
NI-2022,Utilities,26.19659614562988,25.86181259155273,1.84,"7,575,400","407,100","749,000",69.55,39.969,5.167
NI-2023,Utilities,26.89336776733398,28.29606628417969,1.59,"8,269,600","416,100","661,700",64.608,38.423,5
NOC-2020,Industrials,305.7069396972656,344.948974609375,19.08,"10,579,000","167,100","3,189,000",54.988,24.228,7
NOC-2021,Industrials,429.9853820800781,461.961181640625,43.70,"12,926,000","160,300","7,005,000",55.117,24.986,6.667
NOC-2022,Industrials,450.4140319824219,446.2599792480469,31.61,"15,312,000","154,900","4,896,000",56.15,28.262,5
NOC-2023,Industrials,474.5997619628906,434.0278625488281,13.57,"14,795,000","151,500","2,056,000",56.15,28.762,5
NRG-2020,Utilities,33.18599319458008,35.72816848754883,2.08,"1,680,000","245,000","510,000",65.346,26.438,8.5
NRG-2021,Utilities,34.86188125610352,34.99618530273438,8.93,"3,600,000","245,000","2,187,000",66.95,35.2,7
NRG-2022,Utilities,32.28974151611328,35.61012649536133,5.17,"3,828,000","236,000","1,221,000",66.717,34.982,7
NRG-2023,Utilities,66.44558715820312,77.01016235351562,-1.12,"2,906,000","228,000","-256,000",63.617,31.556,7
NUE-2020,Materials,76.09793090820312,91.41415405273438,2.37,"10,788,665","303,168","717,114",52.3,14.581,7
NUE-2021,Materials,143.4443969726562,101.0895080566406,23.23,"14,016,389","292,491","6,795,150",53.354,16.807,7
NUE-2022,Materials,151.53515625,161.4135589599609,28.88,"18,414,694","262,348","7,576,165",52.012,19.188,7
NUE-2023,Materials,196.6604766845703,157.5282440185547,18.05,"20,940,634","249,773","4,507,855",53.292,21.359,7
NXPI-2020,Information Technology,189.668685913086,194.3753662109375,0.19,"8,944,000","279,763","52,000",46.862,24.711,4.167
NXPI-2021,Information Technology,176.2728271484375,141.6562194824219,6.91,"6,528,000","270,687","1,871,000",46.987,27.202,3.333
NXPI-2022,Information Technology,181.2086029052734,200.0537567138672,10.64,"7,449,000","261,879","2,787,000",48.288,27.125,4.5
NXPI-2023,Information Technology,245.8231506347656,268.1257934570312,10.83,"8,644,000","258,381","2,797,000",51.25,30.612,4
O-2020,Real Estate,51.73706436157227,54.99797058105469,1.15,"10,985,483","343,901","395,486",27.1,9.005,3
O-2021,Real Estate,60.78053283691406,60.51562118530273,0.87,"25,052,574","591,262","359,456",26.55,11.14,3
O-2022,Real Estate,58.05981063842773,55.46866607666016,1.42,"28,713,149","611,766","869,408",26.267,11.73,3
O-2023,Real Estate,52.30688858032227,51.81066513061523,1.26,"32,941,467","692,298","872,309",26.908,11.433,3
OKE-2020,Energy,40.25728225708008,45.21869277954102,1.42,"6,042,398","431,105","611,709",46.525,20.095,5
OKE-2021,Energy,60.36814880371094,48.18515014648438,3.36,"6,015,163","446,400","1,499,000",45.562,20.38,5
OKE-2022,Energy,57.73117828369141,56.85840606689453,3.85,"6,494,000","447,500","1,721,000",46.229,22.04,5
OKE-2023,Energy,77.15449523925781,79.60135650634766,5.49,"16,484,000","484,300","2,658,000",51.842,26.295,5
OMC-2020,Communication Services,65.54810333251953,71.35704040527344,4.38,"3,084,400","215,600","951,200",26,8.014,3
OMC-2021,Communication Services,77.84371948242188,58.88735580444336,6.57,"3,270,200","214,300","1,395,600",26.496,8.241,3
OMC-2022,Communication Services,89.93087005615234,91.41353607177734,6.40,"3,252,100","205,600","1,299,400",26.817,8.882,3
OMC-2023,Communication Services,95.2917022705078,89.01068115234375,6.98,"3,616,300","199,341","1,303,300",26.65,10.368,3
ON-2020,Information Technology,41.61000061035156,38.27999877929688,0.57,"3,538,500","410,700","234,200",50.2,25.039,5
ON-2021,Information Technology,62.61000061035156,50.31000137329102,2.37,"4,585,400","425,700","1,009,600",53.083,27.221,5
ON-2022,Information Technology,82.31999969482422,94.58000183105467,4.39,"6,188,500","433,200","1,902,200",54.5,28.145,5
ON-2023,Information Technology,73.55000305175781,68.55000305175781,5.07,"7,782,600","430,700","2,183,700",54.2,30.361,5
OTIS-2020,Industrials,65.15345001220703,78.07103729248047,2.09,"-3,862,000","433,200","906,000",46.65,16.297,5.667
OTIS-2021,Industrials,74.1011734008789,68.26139068603516,2.91,"-3,625,000","427,700","1,246,000",46.092,17.629,5
OTIS-2022,Industrials,82.45279693603516,87.25566101074219,2.98,"-4,870,000","420,000","1,253,000",44.25,22.62,5
OTIS-2023,Industrials,98.50187683105467,95.8740463256836,3.42,"-4,924,000","411,400","1,406,000",43.838,26.252,3.167
OXY-2020,Energy,25.86200714111328,30.38980484008789,-17.06,"18,573,000","918,700","-15,675,000",71.125,29.344,8.667
OXY-2021,Energy,55.20186614990234,57.42057037353516,1.62,"20,327,000","935,000","1,512,000",72.5,35.097,7
OXY-2022,Energy,61.24539947509766,57.85182952880859,13.41,"30,085,000","926,200","12,421,000",74.425,31.162,9
OXY-2023,Energy,64.51644134521484,62.79687118530273,4.22,"30,250,000","889,200","3,750,000",78.075,36.03,9
PARA-2020,Communication Services,41.08079147338867,41.28672790527344,3.93,"15,371,000","616,000","2,422,000",25.713,7.511,3
PARA-2021,Communication Services,35.21978759765625,23.15966606140137,7.02,"22,402,000","641,000","4,543,000",24.5,8.268,3
PARA-2022,Communication Services,21.62353324890137,15.60803604125977,1.61,"23,036,000","649,000","1,104,000",24.875,9.322,3
PARA-2023,Communication Services,11.66199588775635,10.33891868591309,-1.02,"22,526,000","652,000","-608,000",24.854,9.764,3
PAYC-2020,Industrials,366.74853515625,360.217529296875,2.49,"655,643","57,620","143,453",28.45,9.502,3
PAYC-2021,Industrials,343.2804870605469,277.6133422851562,3.39,"893,714","57,885","195,960",29.425,10.894,3
PAYC-2022,Industrials,301.2896423339844,318.3654174804688,4.86,"1,182,607","57,928","281,389",30.4,12.705,3
PAYC-2023,Industrials,198.1738739013672,142.7324981689453,5.91,"1,303,036","57,707","340,788",30.4,12.68,3
PCG-2020,Utilities,11.68958950042725,10.15227317810059,-1.05,"25,476,000","1,257,000","-1,318,000",77.85,34.71,9
PCG-2021,Utilities,11.91918754577637,9.962604522705078,-0.05,"20,971,000","1,985,000","-102,000",72.604,31.504,8.833
PCG-2022,Utilities,16.14181709289551,17.24987983703613,0.91,"22,823,000","1,987,000","1,800,000",64.5,29.37,7
PCG-2023,Utilities,16.7401237487793,17.45001029968262,1.09,"25,040,000","2,064,000","2,242,000",63.562,30.546,7
PEG-2020,Utilities,53.32552719116211,53.39328384399414,3.76,"15,984,000","504,000","1,905,000",61.071,31.869,5
PEG-2021,Utilities,64.09996795654297,58.41946411132812,-1.29,"14,438,000","504,000","-648,000",59.546,30.288,5
PEG-2022,Utilities,59.11127090454102,59.84054565429688,2.06,"13,729,000","498,000","1,031,000",57.237,28.629,5
PEG-2023,Utilities,65.6292495727539,73.10596466064453,5.15,"15,477,000","498,000","2,563,000",59.167,32.253,5
PEP-2020,Consumer Staples,128.1223297119141,135.2808380126953,5.16,"13,454,000","1,380,000","7,120,000",43.955,22.785,4.636
PEP-2021,Consumer Staples,156.0387115478516,156.3893737792969,5.51,"16,043,000","1,383,000","7,618,000",41.338,24.132,3
PEP-2022,Consumer Staples,174.4946746826172,178.4877166748047,6.47,"17,149,000","1,377,000","8,910,000",42.083,26.063,3
PEP-2023,Consumer Staples,172.3257598876953,163.6396942138672,6.60,"18,503,000","1,374,000","9,074,000",47.233,28.98,3.667
PFE-2020,Health Care,30.9153938293457,33.77910614013672,1.73,"63,238,000","5,555,000","9,159,000",49.05,18.048,6.333
PFE-2021,Health Care,45.90430068969727,46.84298706054688,3.92,"77,201,000","5,601,000","21,979,000",47.183,21.668,5.333
PFE-2022,Health Care,37.35213470458984,33.88858795166016,5.59,"95,661,000","5,608,000","31,372,000",48.017,22.952,5
PFE-2023,Health Care,26.55763053894043,27.18070983886719,0.38,"89,014,000","5,643,000","2,119,000",47.275,23.98,4.5
PGR-2020,Financials,88.44367980957031,95.28561401367188,9.71,"17,038,600","584,900","5,677,700",37.9,12.786,5
PGR-2021,Financials,112.5829849243164,114.9465637207031,5.69,"18,231,600","584,500","3,324,000",38.442,15.343,5
PGR-2022,Financials,141.7924041748047,131.2971496582031,1.19,"15,891,000","584,400","694,600",38.225,17.246,5
PGR-2023,Financials,205.58984375,207.5127716064453,6.61,"20,277,100","584,900","3,864,800",39.879,19.598,4.5
PKG-2020,Materials,120.1470260620117,121.8575057983398,4.86,"3,246,300","94,856","457,400",30.125,10.486,3
PKG-2021,Materials,143.4642028808594,127.2112274169922,8.87,"3,607,200","94,825","834,700",30.575,15.571,3
PKG-2022,Materials,132.2467041015625,127.1087493896484,11.08,"3,667,100","92,942","1,021,900",30.475,15.088,3
PKG-2023,Materials,187.2208862304688,181.3272857666016,8.52,"3,997,300","89,625","759,000",31.417,14.192,3
PLD-2020,Real Estate,96.97662353515624,110.0337982177734,2.02,"31,971,547","728,323","1,473,122",24.4,14.452,2
PLD-2021,Real Estate,150.7033843994141,110.3625183105469,3.97,"33,426,873","739,363","2,933,571",24.158,14.29,1.667
PLD-2022,Real Estate,119.4278869628906,118.2366638183594,4.28,"53,237,282","785,675","3,358,796",24.6,16.103,1
PLD-2023,Real Estate,128.1587829589844,111.3498306274414,3.30,"53,181,724","924,351","3,053,373",25.417,15.932,2.167
PM-2020,Consumer Staples,73.751953125,83.47660827636719,5.16,"-12,567,000","1,557,000","8,036,000",44.15,16.574,5
PM-2021,Consumer Staples,82.17523193359375,87.54258728027344,5.83,"-10,106,000","1,558,000","9,083,000",43.625,20.012,5
PM-2022,Consumer Staples,89.6791763305664,91.2310562133789,5.82,"-8,957,000","1,550,000","9,024,000",43.096,19.639,5
PM-2023,Consumer Staples,89.20516204833984,100.0283279418945,5.02,"-11,225,000","1,552,000","7,791,000",46.788,20.261,5
PNC-2020,Financials,153.1314544677734,167.7261962890625,16.99,"54,010,000","427,000","7,249,000",39.017,18.19,5
PNC-2021,Financials,165.3397064208984,142.2089233398438,12.71,"55,695,000","426,000","5,409,000",39.85,17.29,5
PNC-2022,Financials,117.7519302368164,117.7325820922852,13.86,"45,774,000","412,000","5,708,000",38.9,16.46,5
PNC-2023,Financials,156.8457489013672,152.4549102783203,12.80,"51,105,000","401,000","5,126,000",41.775,16.292,5
PNW-2020,Utilities,68.5529556274414,69.83130645751953,4.89,"5,633,503","112,666","550,559",66.683,38.468,5
PNW-2021,Utilities,68.74537658691406,65.14353942871094,5.48,"5,906,200","112,910","618,720",64.85,37.378,5
PNW-2022,Utilities,73.1705551147461,76.11006164550781,4.27,"6,048,647","113,196","483,602",62.767,34.722,5.833
PNW-2023,Utilities,72.17940521240234,74.70664978027344,4.42,"6,177,664","113,442","501,557",62.65,31.792,7
PPG-2020,Materials,141.3385009765625,160.3239288330078,4.47,"5,689,000","236,800","1,059,000",54.25,25.799,5.667
PPG-2021,Materials,125.0512161254883,109.5149154663086,6.06,"6,286,000","237,600","1,439,000",53.975,28.473,5
PPG-2022,Materials,129.8484954833984,144.8426055908203,4.34,"6,592,000","236,100","1,026,000",53.646,29.213,5
PPG-2023,Materials,143.5251312255859,125.276725769043,5.38,"7,832,000","236,000","1,270,000",52.483,27.206,5
PSX-2020,Energy,70.78878784179688,75.35164642333984,-9.06,"18,984,000","439,530","-3,983,000",54.463,24.239,5.833
PSX-2021,Energy,78.55117797851562,75.34681701660156,2.97,"19,166,000","440,028","1,306,000",54.762,22.66,6.833
PSX-2022,Energy,95.99444580078124,91.22612762451172,23.36,"29,494,000","471,497","11,014,000",54.75,25.444,5
PSX-2023,Energy,160.8895874023438,140.0569000244141,15.56,"30,583,000","450,136","7,004,000",58.738,24.555,6.5
PWR-2020,Industrials,87.35478210449219,89.92636108398438,3.15,"4,344,181","141,380","445,596",50.604,13.312,7
PWR-2021,Industrials,130.9170532226562,124.7561950683594,3.45,"5,112,301","140,824","485,956",51.854,15.725,7
PWR-2022,Industrials,166.2327728271484,195.9699401855469,3.42,"5,383,464","143,488","491,189",52.062,16.9,7
PWR-2023,Industrials,259.619140625,253.9131317138672,5.13,"6,272,241","145,222","744,689",59.15,22.153,7
RSG-2020,Industrials,94.59375,105.1885681152344,3.03,"8,483,900","319,300","967,200",33.75,9.998,5
RSG-2021,Industrials,128.09033203125,126.9481201171875,4.05,"8,978,900","318,800","1,290,400",33.167,11.609,5
RSG-2022,Industrials,132.6106262207031,150.7676544189453,4.70,"9,686,000","316,500","1,487,600",33.25,12.087,5
RSG-2023,Industrials,190.3754730224609,193.2593383789062,5.47,"10,542,300","316,200","1,731,000",35.496,14.711,4.833
SHW-2020,Materials,238.3067016601562,264.574462890625,7.48,"3,610,800","271,278","2,030,400",51.7,21.785,5.333
SHW-2021,Materials,243.7261047363281,219.1309051513672,7.10,"2,437,200","262,500","1,864,400",51.7,22.287,5
SHW-2022,Materials,221.5613861083984,262.4414978027344,7.83,"3,102,100","258,000","2,020,100",52.933,24.094,5
SHW-2023,Materials,345.7721862792969,297.7555236816406,9.35,"3,715,800","255,400","2,388,800",51.008,21.97,5
SLB-2020,Energy,25.52323150634766,30.1887264251709,-7.57,"12,071,000","1,390,000","-10,518,000",46.668,22.103,5
SLB-2021,Energy,39.45564651489258,34.26112747192383,1.34,"15,004,000","1,400,000","1,881,000",48.767,24.551,5
SLB-2022,Energy,47.59349822998047,47.83816146850586,2.43,"17,685,000","1,416,000","3,441,000",49.1,25.936,5
SLB-2023,Energy,54.15428924560547,46.88111877441406,2.95,"20,189,000","1,425,000","4,203,000",47.025,25.895,5
SO-2020,Utilities,54.05415725708008,53.17457580566406,2.95,"28,263,000","1,058,000","3,119,000",61.875,29.629,7
SO-2021,Utilities,65.70694732666016,65.28456115722656,2.26,"28,165,000","1,061,000","2,393,000",61.912,28.803,7
SO-2022,Utilities,65.54357147216797,66.86508178710938,3.28,"30,408,000","1,075,000","3,524,000",63.338,30.293,7
SO-2023,Utilities,70.34468078613281,76.86641693115234,3.64,"31,444,000","1,092,000","3,976,000",63.954,31.045,7
SPG-2020,Real Estate,93.86322021484376,107.6494216918945,3.59,"3,039,472","308,738","1,109,227",25.65,10.463,3
SPG-2021,Real Estate,113.3891906738281,82.85027313232422,6.84,"3,361,452","328,587","2,246,294",25.65,10.882,3
SPG-2022,Real Estate,102.4917831420898,107.2852249145508,6.52,"3,138,524","327,817","2,136,198",25.913,11.651,3
SPG-2023,Real Estate,152.4774322509766,149.8257446289062,6.98,"3,022,834","326,808","2,279,789",26.375,12.738,3
SPGI-2020,Financials,342.2258911132812,398.9908447265625,9.71,"509,000","241,000","2,339,000",29.65,16.455,3
SPGI-2021,Financials,400.917724609375,330.0846557617188,12.56,"2,032,000","240,800","3,024,000",29.65,16.917,3
SPGI-2022,Financials,340.0367736816406,396.4169006347656,10.25,"36,388,000","316,900","3,248,000",33.525,19.483,3
SPGI-2023,Financials,423.6702270507813,445.0583190917969,8.25,"34,200,000","318,400","2,626,000",34.375,20.313,3
STLD-2020,Materials,47.92302703857422,56.56475830078125,2.61,"4,345,164","211,140","550,822",52.925,18.595,7
STLD-2021,Materials,80.20401763916016,63.85012817382812,15.67,"6,304,641","205,115","3,214,066",56.233,21.342,7
STLD-2022,Materials,110.5749740600586,106.9472503662109,21.06,"8,130,357","183,393","3,862,674",55.325,22.015,7
STLD-2023,Materials,147.2156677246094,129.0236358642578,14.72,"8,866,666","166,552","2,450,882",54.592,21.751,7
SYK-2020,Health Care,234.535659790039,250.7386627197266,4.26,"13,084,000","375,500","1,599,000",47.792,12.294,7
SYK-2021,Health Care,259.9974365234375,193.9529113769531,5.29,"14,877,000","377,000","1,994,000",47.217,13.95,7
SYK-2022,Health Care,281.1280212402344,301.2593078613281,6.23,"16,616,000","378,200","2,358,000",48.296,18.396,6.167
SYK-2023,Health Care,356.214111328125,339.45068359375,8.34,"18,593,000","379,600","3,165,000",48.5,20.033,5
T-2020,Communication Services,17.28549194335938,16.82184600830078,-0.75,"161,673,000","7,157,000","-5,369,000",38.271,19.18,3
T-2021,Communication Services,14.84472179412842,17.9057674407959,2.77,"166,332,000","7,168,000","19,874,000",38.567,18.947,3.333
T-2022,Communication Services,17.20447540283203,14.46098041534424,-1.13,"97,500,000","7,166,000","-8,064,000",40.15,18.057,5
T-2023,Communication Services,16.78646469116211,18.52399444580078,1.97,"103,297,000","7,181,000","14,192,000",43.142,19.85,5
TAP-2020,Consumer Staples,46.89361572265625,49.22224426269531,-4.38,"12,365,000","216,800","-949,000",38.925,20.458,3
TAP-2021,Consumer Staples,49.67739105224609,51.10893630981445,4.63,"13,417,100","217,100","1,005,700",39.367,20.622,3
TAP-2022,Consumer Staples,49.49716186523438,63.55023193359375,-0.81,"12,689,700","216,900","-175,300",40.638,19.906,4.5
TAP-2023,Consumer Staples,66.22364044189453,50.40690231323242,4.39,"13,196,000","216,000","948,900",41.417,19.781,5
TDY-2020,Information Technology,413.6499938964844,418.8299865722656,10.88,"3,228,600","36,952","401,900",51.65,14.137,7
TDY-2021,Information Technology,472.6300048828125,375.1099853515625,9.54,"7,622,000","46,692","445,300",51.65,13.428,7
TDY-2022,Information Technology,447.3599853515625,411.1099853515625,16.82,"8,169,200","46,913","788,600",51.65,14.124,7
TDY-2023,Information Technology,429.3200073242188,387.9800109863281,18.71,"9,221,200","47,332","885,700",52.225,16.584,7
TER-2020,Information Technology,120.0121459960938,132.2187805175781,4.72,"2,210,805","166,120","784,147",32.1,11.405,5
TER-2021,Information Technology,116.9578247070312,88.66829681396484,6.15,"2,563,956","164,960","1,014,589",32.6,13.552,3.333
TER-2022,Information Technology,106.8243255615234,110.7322463989258,4.52,"2,451,294","158,434","715,501",32.175,14.861,3
TER-2023,Information Technology,112.5997619628906,148.1624450683594,2.91,"2,525,897","154,310","448,752",33.05,16.5,3
TFX-2020,Health Care,408.0662536621094,394.9732055664063,7.21,"3,336,457","46,488","335,324",46.35,17.338,5
TFX-2021,Health Care,349.797607421875,242.6032257080078,10.38,"3,754,748","46,774","485,374",46.075,17.061,5
TFX-2022,Health Care,251.0052032470703,240.1773223876953,7.74,"4,021,968","46,898","363,139",46.4,17.015,5
TFX-2023,Health Care,225.4575653076172,209.9850616455078,7.58,"4,440,988","46,981","356,328",46.75,17.18,5
TMUS-2020,Communication Services,123.7772979736328,143.0813751220703,2.68,"65,344,000","1,144,206","3,064,000",38.3,11.643,5
TMUS-2021,Communication Services,126.8003616333008,132.9156036376953,2.42,"69,102,000","1,247,155","3,024,000",38.717,13.29,5
TMUS-2022,Communication Services,143.0912475585938,137.2229614257812,2.07,"69,656,000","1,249,764","2,590,000",42,17.316,5
TMUS-2023,Communication Services,161.9532623291016,175.5091247558594,7.02,"64,715,000","1,185,122","8,317,000",45.417,20.383,5
TRGP-2020,Energy,29.50805282592773,41.45907974243164,-7.26,"2,653,900","232,200","-1,684,800",48.1,11.756,7
TRGP-2021,Energy,70.89067840576172,56.39120483398438,-0.07,"2,011,800","228,600","-16,100",48.183,14.504,7
TRGP-2022,Energy,69.99061584472656,73.35356140136719,3.95,"2,665,700","227,300","896,800",52.242,18.35,7
TRGP-2023,Energy,110.0093841552734,127.2380905151367,3.69,"2,739,700","224,600","835,800",54.963,21.552,7
TROW-2020,Financials,148.3805541992188,172.2532653808594,10.08,"7,707,000","228,800","2,307,400",39.75,16.44,5
TROW-2021,Financials,135.7817840576172,102.9377288818359,13.25,"9,022,700","226,600","3,002,400",39.296,20.053,3
TROW-2022,Financials,105.5930709838867,105.9824905395508,6.73,"8,839,500","226,000","1,521,800",38.275,21.405,3
TROW-2023,Financials,119.351203918457,114.0833969116211,7.78,"9,505,100","224,100","1,744,300",38.421,20.872,3
TRV-2020,Financials,139.4330749511719,139.5549621582031,10.56,"29,201,000","253,500","2,678,000",39.65,17.242,5
TRV-2021,Financials,173.2388610839844,161.1873321533203,14.63,"28,887,000","248,500","3,635,000",39.137,19.732,3.333
TRV-2022,Financials,165.9855499267578,169.0487518310547,11.91,"21,560,000","237,000","2,822,000",39.879,19.846,4.167
TRV-2023,Financials,227.9672241210937,202.3373870849609,12.93,"24,921,000","229,700","2,969,000",40.475,19.851,5
TXN-2020,Information Technology,170.3970489501953,174.4327697753906,6.07,"9,187,000","921,000","5,568,000",46.421,28.482,3
TXN-2021,Information Technology,169.3206787109375,142.7316284179688,8.42,"13,333,000","923,000","7,736,000",48.442,29.392,3.5
TXN-2022,Information Technology,176.5090942382812,172.0424346923828,9.55,"14,577,000","916,000","8,709,000",49.033,28.334,4.833
TXN-2023,Information Technology,170.4992218017578,191.8887481689453,7.17,"16,897,000","908,000","6,476,000",47.133,26.083,5
TXT-2020,Industrials,55.8599853515625,68.52618408203125,1.35,"5,845,000","226,400","309,000",56.975,18.944,7
TXT-2021,Industrials,74.17835998535156,60.92183685302734,3.33,"6,815,000","216,900","746,000",57.038,21.513,7
TXT-2022,Industrials,70.52088165283203,67.54399108886719,4.05,"7,113,000","212,809","861,000",56.325,22.24,7
TXT-2023,Industrials,95.88688659667967,85.84002685546875,4.57,"6,987,000","201,532","921,000",56.2,22.48,7
TYL-2020,Information Technology,424.5299987792969,452.3699951171875,4.87,"1,986,111","40,035","194,820",28.05,8.051,4.167
TYL-2021,Information Technology,444.8900146484375,332.4800109863281,3.95,"2,324,032","40,848","161,458",28.508,8.904,3.333
TYL-2022,Information Technology,354.6400146484375,416.4700012207031,3.95,"2,624,389","41,544","164,240",31.938,12.132,3.333
TYL-2023,Information Technology,425.010009765625,502.7799987792969,3.95,"2,937,995","42,024","165,919",33.05,13.354,3
UAL-2020,Industrials,57.54000091552734,52.29000091552734,-22.67,"5,960,000","311,845","-7,069,000",50.412,19.556,6.5
UAL-2021,Industrials,46.36000061035156,35.41999816894531,-6.07,"5,029,000","323,811","-1,964,000",50.45,19.466,7
UAL-2022,Industrials,44.25,54.86999893188477,2.25,"6,896,000","326,930","737,000",50.175,20.366,6.5
UAL-2023,Industrials,47.88000106811523,48.65999984741211,7.98,"9,324,000","327,800","2,618,000",49.65,20.927,5
UBER-2020,Industrials,54.5099983215332,50.11999893188477,-3.86,"12,266,000","1,752,960","-6,768,000",42.7,8.99,6.667
UBER-2021,Industrials,35.68000030517578,20.45999908447266,-0.26,"14,458,000","1,892,546","-496,000",42.575,13.524,5
UBER-2022,Industrials,31.70000076293945,43.16999816894531,-4.64,"7,340,000","1,972,131","-9,141,000",45.15,15.96,5
UBER-2023,Industrials,76.98999786376953,72.68000030517578,0.93,"11,249,000","2,035,651","1,887,000",45.1,17.873,5
UDR-2020,Real Estate,38.24028015136719,43.11752700805664,0.20,"3,234,200","294,545","60,036",26.95,11.743,3
UDR-2021,Real Estate,51.62860870361328,41.68796920776367,0.49,"3,442,874","300,326","145,787",26.75,13.658,3
UDR-2022,Real Estate,38.09723663330078,40.26675796508789,0.26,"4,098,085","321,671","82,512",26.75,14.428,3
UDR-2023,Real Estate,36.20392608642578,40.26154327392578,1.34,"3,991,144","328,765","439,505",28.317,14.897,3
UNH-2020,Health Care,353.9952392578125,382.340576171875,16.28,"65,491,000","946,000","15,403,000",33.05,12.144,5
UNH-2021,Health Care,492.0182495117188,497.0158386230469,18.33,"71,760,000","943,000","17,285,000",33.321,13.082,4.667
UNH-2022,Health Care,461.7933654785156,471.332275390625,21.54,"77,772,000","934,000","20,120,000",33.7,16.202,3
UNH-2023,Health Care,490.6759338378906,507.1087036132813,24.12,"88,756,000","928,000","22,381,000",33.2,17.9,3
VLO-2020,Energy,62.01907348632812,68.6739273071289,-3.50,"18,801,000","407,000","-1,426,000",53.2,17.331,6.667
VLO-2021,Energy,92.90778350830078,98.35852813720705,2.27,"18,430,000","407,000","924,000",53.2,24.783,5
VLO-2022,Energy,132.3113098144531,111.9873123168945,29.05,"23,561,000","395,000","11,485,000",53.225,22.672,7
VLO-2023,Energy,167.1254425048828,154.652587890625,24.93,"26,346,000","353,000","8,808,000",56.675,25.177,6.833
VMC-2020,Materials,163.8865814208984,169.42578125,4.41,"6,027,300","132,578","584,500",46.725,13.817,6.833
VMC-2021,Materials,179.8418884277344,139.4195098876953,5.05,"6,545,000","132,800","670,800",46.325,17.281,5
VMC-2022,Materials,169.5030670166016,223.2655792236328,4.33,"6,928,600","133,000","575,600",47.6,18.48,5
