Company-Year,Sector,stock_FinancialYEnd,stock_FollowingQtrEnd,BasicEPS,total shareholder's equity,Basic avg shares,NetIncomeAvailShareholders,ESG Risk Exposure Score,ESG Risk Managed Score,Sustainalytics ESG Risk Classification
CHTR-2020,Communication Services,617.02001953125,721.4500122070312,15.85,"23,805,000","203,316","3,222,000",28.15,8.101,4.167
CHTR-2021,Communication Services,545.52001953125,468.5299987792969,25.34,"14,050,000","183,669","4,654,000",33.933,11.113,5
CHTR-2022,Communication Services,357.6099853515625,367.3699951171875,31.30,"9,119,000","161,501","5,055,000",42.354,16.717,5
CHTR-2023,Communication Services,290.6300048828125,298.9599914550781,30.54,"11,086,000","149,208","4,557,000",43.3,18.891,5
CL-2020,Consumer Staples,72.12767791748047,74.84884643554688,3.15,"743,000","856,800","2,695,000",40.365,18.407,5
CL-2021,Consumer Staples,70.96791076660156,75.40898132324219,2.56,"609,000","845,000","2,166,000",39.6,18.104,5
CL-2022,Consumer Staples,72.03397369384766,74.3100357055664,2.13,"401,000","836,400","1,785,000",41.767,19.702,5
CL-2023,Consumer Staples,88.5473403930664,95.99073791503906,2.78,"609,000","827,400","2,300,000",43.5,19.703,5
CMCSA-2020,Communication Services,49.20186614990234,52.08507537841797,2.30,"90,323,000","4,580,656","10,534,000",28.3,8.667,3
CMCSA-2021,Communication Services,43.33933258056641,36.50269317626953,3.12,"96,092,000","4,533,230","14,159,000",30.688,10.1,3.5
CMCSA-2022,Communication Services,36.02129364013672,39.78713607788086,1.27,"80,943,000","4,220,119","5,370,000",38.1,13.355,5
CMCSA-2023,Communication Services,42.40029525756836,38.55708312988281,3.87,"82,703,000","3,978,762","15,388,000",41.55,18.408,5
CMI-2020,Industrials,236.639877319336,223.9168243408203,12.07,"8,062,000","148,200","1,789,000",44.345,25.655,3
CMI-2021,Industrials,191.7423706054688,182.0994720458984,14.74,"8,146,000","144,600","2,131,000",44.4,26.068,3
CMI-2022,Industrials,229.3734436035156,236.8909606933593,15.20,"8,975,000","141,500","2,151,000",44.8,25.433,3
CMI-2023,Industrials,291.0554504394531,275.3089904785156,5.19,"8,850,000","141,700","735,000",44.875,25.649,3
CNC-2020,Health Care,63.90999984741211,72.93000030517578,3.17,"25,773,000","570,722","1,808,000",36.05,9.74,5
CNC-2021,Health Care,84.19000244140625,84.61000061035156,2.31,"26,795,000","582,832","1,347,000",35.887,13.296,5
CNC-2022,Health Care,63.20999908447266,67.44999694824219,2.09,"24,057,000","575,191","1,202,000",36.658,15.359,5
CNC-2023,Health Care,78.4800033569336,66.30000305175781,4.97,"25,840,000","543,319","2,702,000",36.8,16.61,3.833
COP-2020,Energy,46.42637634277344,53.86697006225586,-2.51,"29,849,000","1,078,030","-2,707,000",70.817,40.262,5.833
COP-2021,Energy,90.61166381835938,82.0320816040039,6.09,"45,406,000","1,324,194","8,060,000",72.333,36.638,7
COP-2022,Energy,94.4112777709961,99.65080261230467,14.62,"48,003,000","1,274,028","18,620,000",68.3,33.402,7
COP-2023,Energy,125.5795593261719,113.6569519042969,9.08,"49,279,000","1,202,757","10,922,000",70.717,36.244,7
CPAY-2020,Financials,268.6300048828125,256.0599975585937,8.38,"3,355,411","84,005","704,216",28.95,9.302,3.5
CPAY-2021,Financials,249.0599975585937,210.1100006103516,10.23,"2,866,580","82,060","839,497",29.95,11.825,3
CPAY-2022,Financials,210.8500061035156,251.0800018310547,12.62,"2,541,493","75,598","954,327",31.267,13.298,3
CPAY-2023,Financials,308.5400085449219,266.4100036621094,13.42,"3,282,359","73,155","981,890",32.85,14.807,3
CPT-2020,Real Estate,98.20367431640624,119.4302520751953,1.24,"3,444,905","99,385","123,650",26.2,7.95,3
CPT-2021,Real Estate,152.1175842285156,123.7642822265625,2.97,"4,197,490","101,999","303,362",25.9,9.5,3
CPT-2022,Real Estate,98.72320556640624,103.526725769043,6.07,"4,986,620","107,605","652,623",27.3,11.437,3
CPT-2023,Real Estate,96.43385314941406,108.0859146118164,3.71,"4,980,757","108,653","402,663",27.937,11.907,3
CSGP-2020,Real Estate,82.18900299072266,82.81999969482422,0.60,"5,375,359","380,730","227,128",34.65,8.347,5
CSGP-2021,Real Estate,66.61000061035156,60.40999984741211,0.75,"5,711,672","392,210","292,600",34.65,7.915,5
CSGP-2022,Real Estate,68.8499984741211,89,0.93,"6,870,000","396,284","369,500",36.083,9.355,5
CSGP-2023,Real Estate,96.5999984741211,74.13999938964844,0.92,"7,338,600","405,300","374,700",36.4,12.878,5
CSX-2020,Industrials,30.7402572631836,30.77516746520996,1.21,"13,101,000","2,289,000","2,765,000",37.745,15.986,4.636
CSX-2021,Industrials,36.22233200073242,28.19126892089844,1.72,"13,490,000","2,202,000","3,781,000",37.938,19.256,3.167
CSX-2022,Industrials,29.31903839111328,33.51263809204102,2.02,"12,615,000","2,066,000","4,166,000",37.55,17.38,5
CSX-2023,Industrials,36.81965255737305,33.32946014404297,1.85,"12,128,000","2,008,000","3,715,000",40.717,18.88,5
CTRA-2020,Energy,15.26503849029541,14.26876926422119,0.50,"2,216,000","399,000","201,000",66.1,16.192,9
CTRA-2021,Energy,23.19742202758789,22.68036651611328,2.30,"11,738,000","503,000","1,155,000",65.9,18.124,9
CTRA-2022,Energy,23.08518600463867,24.35794639587402,5.09,"12,659,000","796,000","4,057,000",65.237,18.904,9
CTRA-2023,Energy,27.45288276672364,26.47111129760743,2.14,"13,039,000","756,000","1,620,000",63.967,24.63,7.667
CTSH-2020,Information Technology,74.0518569946289,65.86093139648438,2.58,"10,836,000","540,000","1,392,000",36.3,15.215,4.5
CTSH-2021,Information Technology,86.08234405517578,64.98596954345703,4.06,"11,991,000","527,000","2,137,000",32.213,13.64,3.5
CTSH-2022,Information Technology,59.39743804931641,63.91412734985352,4.42,"12,309,000","518,000","2,290,000",30.85,14.969,3
CTSH-2023,Information Technology,72.69676208496094,67.7099380493164,4.21,"13,227,000","505,000","2,126,000",30.85,16.298,3
CTVA-2020,Materials,44.81769180297852,42.75799560546875,0.91,"24,824,000","748,700","681,000",61.1,12.545,9
CTVA-2021,Materials,55.91080856323242,52.80459213256836,2.39,"25,384,000","735,900","1,759,000",61.821,16.778,9
CTVA-2022,Materials,59.2566032409668,56.43547439575195,1.59,"25,302,000","720,800","1,147,000",62.354,22.637,8.5
CTVA-2023,Materials,57.33525848388672,53.7846908569336,1.04,"25,037,000","709,000","735,000",58,21.191,7
CVX-2020,Energy,90.5629425048828,91.79926300048828,-2.96,"131,688,000","1,870,027","-5,543,000",76.45,36.072,8.667
